""
"User Stories"
"GRM - USC 1 – Create grooming service type","As an Admin, I want to create grooming service types (e.g., bath, haircut, nail trimming, ear cleaning), so that staff and customers have a standardized list of services.   Conversation: define service name, description, and duration.set base price for each service.mark whether service is available for dogs, cats, or both.  Confirmation: Test that Admin can create a new grooming service typeTest that service type includes name, description, duration, price are storedTest that services are visible in catalog  Dependencies: system must support a grooming catalog module, catalog module must exist","Grooming Service Catalog"
"BRD - USC 1 – Specify duration of stay","As a customer, I want to specify the start and end date/time for my pet’s boarding stay, so that the system reserves space accordingly.   Conversation: allow selection of short-term (hours/days) or long-term (weeks).validate availability against facility capacity.  Confirmation: Test booking with different durationsTest rejection if capacity exceeded  Dependencies: facility capacity data must exist","Boarding Booking (duration & terms)"
"PUD-USC1 – Request pick-up service","As a Customer, I want to request pick-up service for my pet, so that I don’t need to transport my pet myself.   Conversation: allow Customer to tick “pick-up needed” during booking.capture pick-up address, date, and time.  Confirmation: Test successful submission with complete details.Test validation for missing address or time.Test confirmation message displays correctly.  Dependencies: CPI-USC1 (Create customer account)booking flow must exist","Pick-up Service"
"PRD-USC1 – Create product entry","As an Admin, I want to add new products (food, toys, accessories) with details, so that they are available for customers to browse and purchase.   Conversation: define product name, description, price, category (food/toy/accessory).mark pet type (dog, cat, both).upload product image.  Confirmation: Test Admin can create new productTest product is visible in catalog  Dependencies: product catalog module must exist","Product Catalog"
"CPI-USC1 – Create customer account","As a Customer, I want to register an account, so that I can manage my pet’s services and bookings.   Conversation: require name, email, password, phone.require optional address.validate unique email.  Confirmation: Test account registration with valid data.Test missing mandatory fields.Test email verification process completes successfully.  Dependencies: authentication module must exist","Customer Account"
"STS-USC1 – Upload staff certification","As an Admin, I want to upload staff certifications and training achievements, so that they can be displayed in the system.   Conversation: allow upload of pdf/jpg certificates.assign certification to a specific staff profile.store issue date and expiry date.  Confirmation: Test upload works for supported formatsTest certifications link correctly to staffTest correct display of all scheduled events.Test filter results by service type.Test live status updates appear correctly.","Staff Training & Certification"
"BIL-USC1 – Initiate payment","As a Customer, I want to pay for my bookings and product purchases, so that I can complete my transactions easily.   Conversation: support credit card, debit card, PayPal, Swish (local option).require billing info (name, address, email).confirm payment before finalizing.  Confirmation: Test payment works with Visa, MasterCard, PayPal, SwishTest invalid/expired card is rejected  Dependencies: booking/sales modules must existGRM-USC6PUD-USC1–3PRD-USC2","Payment Processing"
"SUP-USC1 – Submit support request","As a Customer, I want to submit a support request before, during, or after services, so that I can resolve issues quickly.   Conversation: allow request via app (chat, form, email).capture service type (grooming, boarding, product).auto-generate ticket ID.  Confirmation: Test support request is logged with IDTest confirmation sent to customer  Dependencies: CPI-USC1 (Create customer account)","Customer Interaction"
"INV-USC1 – Create inventory item","As an Admin, I want to add a new inventory item (e.g., pet food, grooming shampoo), so that it is tracked in stock.   Conversation: Define product attributes (name, SKU, category, quantity, unit cost, supplier).Include fields for reorder level and storage location.Allow attaching product documentation or images.  Confirmation: Test creating an inventory item with all required fields.Test missing mandatory fields (SKU, quantity).Test duplicate SKU prevention.  Dependencies:  None","Inventory Management"
"FAC-USC1 – Create facility inspection checklist","As an Admin, I want to create a digital checklist template for facility inspections, so that staff can record daily opening and closing checks.   Conversation: Define inspection areas (kennels, grooming stations, play areas).Allow customization (add/remove checklist items).Decide if multiple checklist templates are needed (opening vs closing).Support version control of checklist templates.Create checklist template with name, areas, and items.Save template version and allow editing drafts.Validate mandatory fields on save.  Confirmation: Test that Admin can create a new checklist template.Test that checklist items are editable.Test that checklist version history is stored.Test that missing mandatory fields prevent save and show an error.Test that duplicate checklist names are rejected.  Dependencies:  INV - USC1","In progress","Inspection & Checklist"
